Gene	Normal1	Normal2	Normal3	Normal4	Normal5	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5
ELMO2	0.204333333333333	0.869416666666667	0.0645	-0.18625	0.06325	1.21941666666667	0.430333333333333	0.439833333333333	1.24266666666667	-0.228333333333333
CREB3L1	-0.242	0.87825	0.2735	-0.8145	-0.7465	-0.15225	0.4445	1.88225	1.781	0.5335
RPS11	0.591875	-0.024625	0.47775	0.701875	0.62875	2.193375	-0.100625	0.055625	0.2695	0.722375
PNMA1	0.5385	0.8195	0.29025	0.2335	0.44275	-0.21875	-0.1675	-0.026	0.14975	0.4275
MMP2	0.707666666666667	1.93233333333333	0.99	-1.70566666666667	0.700166666666667	-0.148666666666667	-0.206	0.970166666666667	-1.07316666666667	-0.283666666666667
C10orf90	0.2755	-0.4175	-0.10875	0.93925	0.10675	-1.955	-2.0185	-3.2575	-2.74075	-1.848
ZHX3	-0.117166666666667	0.570833333333333	0.204333333333333	-0.468166666666667	-0.376666666666667	0.210833333333333	0.1425	-0.194333333333333	0.379666666666667	-0.554
ERCC5	0.5185	0.501	0.035	0.5755	0.4775	0.42975	-0.90075	-0.73925	-0.23675	0.09875
GPR98	-0.018375	-2.131375	-0.524625	0.112875	0.1795	-0.970875	-2.210625	-0.200375	-1.7785	-1.851
RXFP3	-0.059	0.595	0.011	-0.118	-0.344	0.523	0.497	0.2415	0.761	0.7265
APBB2	1.4005	1.2575	0.65875	0.22875	0.93125	1.458	2.04375	1.30125	0.025	0.7
PRO0478	-0.5155	-0.345375	-0.843375	-0.452375	-0.1255	-1.234	-0.67125	-0.717125	-1.056375	-0.76275
KLHL13	1.8995	-0.82375	2.0685	2.532	1.186	-3.43475	-4.157	-0.76075	-4.4365	-3.881
PRSSL1	0.0498333333333333	0.179	-0.335833333333333	-0.603	-0.754833333333333	-0.760333333333333	0.571166666666667	-0.947	-0.468	0.7015
PDCL3	0.330833333333333	0.0133333333333333	0.570833333333333	0.767333333333333	0.568166666666667	0.537333333333333	0.185333333333333	0.130833333333333	0.501333333333333	0.0728333333333333
DECR1	0.272625	0.775875	-0.213125	-0.374125	0.180125	-0.46275	-0.119	1.240625	0.89325	0.513
SALL1	-2.08516666666667	-4.53566666666667	-2.02033333333333	-3.01783333333333	-3.69033333333333	-3.7105	-3.87133333333333	-4.01333333333333	-4.029	-2.9085
CADM4	0.311333333333333	-0.0641666666666668	0.193	0.565	0.0923333333333333	-0.737166666666667	1.25616666666667	1.5525	1.45566666666667	1.1335
