year,dem,rep,age,dem percent gap,Color
1972,0.46,0.33,30-44,0.13,yellow
1976,0.39,0.24,30-44,0.15000000000000002,yellow
1980,0.41,0.28,30-44,0.12999999999999995,yellow
1982,0.42,0.3,30-44,0.12,yellow
1984,0.38,0.32,30-44,0.06,yellow
1986,0.41,0.31,30-44,0.09999999999999998,yellow
1988,0.37,0.34,30-44,0.02999999999999997,yellow
1990,0.36,0.32,30-44,0.03999999999999998,yellow
1992,0.36,0.35,30-44,0.010000000000000009,yellow
1994,0.33,0.37,30-44,-0.03999999999999998,yellow
1996,0.38,0.37,30-44,0.010000000000000009,yellow
1998,0.37,0.36,30-44,0.010000000000000009,yellow
2000,0.38,0.36,30-44,0.020000000000000018,yellow
2002,0.35,0.43,30-44,-0.08000000000000002,yellow
2004,0.34,0.4,30-44,-0.06,yellow
2006,0.37,0.37,30-44,0.0,yellow
2008,0.38,0.32,30-44,0.06,yellow
2012,0.52,0.45,30-44,0.07,yellow
2016,0.51,0.4,30-44,0.10999999999999999,yellow
2020,0.52,0.45,30-44,0.07,yellow
