year,dem,rep,age,dem percent gap,Color
1972,0.41,0.49,60+,-0.08000000000000002,mediumpurple
1976,0.45,0.32,60+,0.13,mediumpurple
1980,0.46,0.36,60+,0.10000000000000003,mediumpurple
1982,0.5,0.32,60+,0.18,mediumpurple
1984,0.4,0.41,60+,-0.009999999999999953,mediumpurple
1986,0.39,0.37,60+,0.020000000000000018,mediumpurple
1988,0.42,0.35,60+,0.07,mediumpurple
1990,0.39,0.34,60+,0.04999999999999999,mediumpurple
1992,0.45,0.34,60+,0.10999999999999999,mediumpurple
1994,0.4,0.35,60+,0.050000000000000044,mediumpurple
1996,0.4,0.36,60+,0.040000000000000036,mediumpurple
1998,0.37,0.39,60+,-0.020000000000000018,mediumpurple
2000,0.42,0.35,60+,0.07,mediumpurple
2002,0.42,0.38,60+,0.03999999999999998,mediumpurple
2004,0.37,0.39,60+,-0.020000000000000018,mediumpurple
2006,0.36,0.37,60+,-0.010000000000000009,mediumpurple
2008,0.39,0.36,60+,0.030000000000000027,mediumpurple
2012,0.44,0.56,60+,-0.12000000000000005,mediumpurple
2016,0.44,0.53,60+,-0.09000000000000002,mediumpurple
2020,0.48,0.51,60+,-0.030000000000000027,mediumpurple
